wave,refl,refl_err
0.8289,1.2689,0.0649
0.8533,1.2693,0.022
0.8776,1.2081,0.0888
0.9021,1.2017,0.0611
0.9265,1.263,0.0292
0.951,1.2888,0.0169
0.9755,1.3291,0.0428
1.0001,1.3596,0.0058
1.0247,1.3267,0.0109
1.0493,1.3912,0.0155
1.074,1.3848,0.02
1.0987,1.4114,0.0154
1.1234,1.4193,0.0199
1.1482,1.4047,0.0281
1.173,1.4294,0.0064
1.1978,1.4664,0.0124
1.2227,1.4438,0.0126
1.2476,1.4914,0.011
1.2726,1.4323,0.0156
1.2976,1.5492,0.0166
1.3226,1.4737,0.0338
1.3476,1.4775,0.053
1.3727,,
1.3978,,
1.423,1.5867,0.0621
1.4482,1.6294,0.0366
1.4734,1.5972,0.0306
1.4987,1.6352,0.0253
1.524,1.5828,0.0084
1.549,1.6177,0.035
1.5747,1.6786,0.0183
1.6001,1.656,0.025
1.491,1.609,0.0108
1.552,1.6319,0.0099
1.615,1.6604,0.0008
1.675,1.6577,0.0084
1.735,1.6644,0.0041
1.795,1.656,0.0213
1.853,1.6997,0.0244
1.913,1.7073,0.0229
1.97,1.705,0.0072
2.028,1.6964,0.0009
2.084,1.7512,0.0336
2.14,1.7502,0.0129
2.196,1.7466,0.01
2.252,1.7307,0.0142
2.306,1.6888,0.0059
2.361,1.7322,0.0034
2.414,1.6858,
2.466,1.6667,
2.519,1.7397,
2.57,,
