wave,refl,refl_err
0.8289,1.1106,0.0055
0.8533,1.0965,0.0054
0.8776,1.0706,0.0035
0.9021,1.0541,0.0057
0.9265,1.0468,0.006
0.951,1.069,0.0067
0.9755,1.0828,0.0106
1.0001,1.1177,0.0085
1.0247,1.136,0.0063
1.0493,1.1616,0.0052
1.074,1.169,0.0043
1.0987,1.1789,0.0041
1.1234,1.204,0.0034
1.1482,1.2204,0.0023
1.173,1.2352,0.0084
1.1978,1.2472,0.0008
1.2227,1.2505,0.0032
1.2476,1.2707,0.0034
1.2726,1.2731,0.0058
1.2976,,
1.3226,1.2927,0.005
1.3476,1.3053,0.0048
1.3727,,
1.3978,,
1.423,,
1.4482,,
1.4734,1.3294,0.0008
1.4987,1.3289,0.0031
1.524,1.3218,0.0036
1.549,1.324,0.0011
1.5747,1.3027,0.0078
1.6001,1.313,0.0028
1.491,1.3276,0.007
1.552,1.319,0.0074
1.615,1.3118,0.0104
1.675,1.2875,0.0083
1.735,1.2612,0.0048
1.795,1.247,0.005
1.853,1.2186,0.0027
1.913,1.2355,0.0022
1.97,1.2414,0.0022
2.028,1.2627,0.005
2.084,1.252,0.0071
2.14,1.2931,0.0004
2.196,1.2963,0.0089
2.252,1.2799,0.0187
2.306,1.3017,
2.361,1.3262,
2.414,1.3186,0.0003
2.466,1.325,0.0079
2.519,1.3539,0.0123
2.57,,
