wave,refl,refl_err
0.8289,1.2194,0.1545
0.8533,1.3916,0.0443
0.8776,1.0882,0.0517
0.9021,1.181,0.1593
0.9265,1.2793,0.082
0.951,1.0342,0.0314
0.9755,1.0957,0.0521
1.0001,0.9909,0.188
1.0247,1.1897,0.1038
1.0493,1.123,0.0558
1.074,1.188,0.0888
1.0987,1.1396,0.0854
1.1234,1.0794,0.0389
1.1482,1.0632,0.0824
1.173,1.1146,0.1053
1.1978,1.2013,0.0608
1.2227,0.938,0.1232
1.2476,1.2862,0.0988
1.2726,1.0971,0.0561
1.2976,1.2848,0.1635
1.3226,1.1654,0.2147
1.3476,0.9803,0.1816
1.3727,1.1422,0.1901
1.3978,1.1356,0.2346
1.423,1.064,0.0677
1.4482,1.0536,0.0999
1.4734,1.2809,0.0887
1.4987,1.0231,0.0383
1.524,1.2591,0.0693
1.549,1.232,0.1169
1.5747,1.1628,0.1034
1.6001,1.346,0.0392
1.491,1.1474,0.0057
1.552,1.1143,0.0159
1.615,1.1474,0.004
1.675,1.1455,0.0684
1.735,1.1395,0.0297
1.795,1.1276,0.0836
1.853,1.0457,0.0967
1.913,1.0687,0.0352
1.97,1.1234,0.0066
2.028,,
2.084,1.1848,0.1133
2.14,1.1944,0.0477
2.196,1.155,0.0269
2.252,1.2588,0.0453
2.306,1.2291,0.0972
2.361,1.2194,0.1371
2.414,1.3159,0.1099
2.466,1.2198,0.1348
2.519,,
2.57,,
