wave,refl,refl_err
0.8289,1.1599,0.0187
0.8533,1.1562,0.0289
0.8776,1.1153,0.016
0.9021,1.0818,0.0349
0.9265,1.0739,0.0192
0.951,1.0627,0.0076
0.9755,1.1109,0.034
1.0001,1.1134,0.021
1.0247,1.1316,0.018
1.0493,1.1609,0.0313
1.074,1.1744,0.0056
1.0987,1.2197,0.0133
1.1234,1.2176,0.0302
1.1482,1.2549,0.0318
1.173,,
1.1978,1.2819,0.0217
1.2227,1.3157,0.0237
1.2476,,
1.2726,,
1.2976,1.3397,0.0271
1.3226,1.3487,0.0109
1.3476,1.3437,0.0215
1.3727,,
1.3978,,
1.423,,
1.4482,,
1.4734,1.4493,0.0356
1.4987,1.4073,0.015
1.524,1.4479,0.0465
1.549,1.4011,0.0192
1.5747,1.4668,0.0363
1.6001,1.4043,0.0305
1.491,1.4375,0.0544
1.552,1.4277,0.0148
1.615,1.4248,0.0104
1.675,1.4133,0.0018
1.735,1.41,0.0046
1.795,1.4075,0.021
1.853,1.3849,0.0004
1.913,1.4137,0.0089
1.97,1.3671,0.0203
2.028,1.414,0.0023
2.084,1.4186,0.0117
2.14,1.4104,0.0005
2.196,1.4654,0.0025
2.252,1.4694,0.0033
2.306,1.5075,0.0142
2.361,1.5243,0.015
2.414,1.5493,0.0089
2.466,,
2.519,1.5358,0.0244
2.57,,
