wave,refl,refl_err
0.8289,1.1858,0.0488
0.8533,1.086,0.0628
0.8776,1.1488,0.023
0.9021,1.1171,0.035
0.9265,1.1347,0.0319
0.951,1.1742,0.0356
0.9755,1.1964,0.0155
1.0001,1.2062,0.0159
1.0247,1.1613,0.0409
1.0493,1.2083,0.0208
1.074,1.2497,0.0139
1.0987,1.2505,0.0189
1.1234,1.2399,0.0166
1.1482,1.2793,0.0084
1.173,1.2476,0.0338
1.1978,1.2866,0.0154
1.2227,1.2784,0.0216
1.2476,1.2846,0.0196
1.2726,1.2818,0.0232
1.2976,1.3048,0.038
1.3226,1.3315,0.0359
1.3476,1.3183,0.0392
1.3727,1.3423,0.0116
1.3978,1.3828,0.0787
1.423,1.3794,0.0435
1.4482,1.4178,0.0318
1.4734,1.4176,0.0221
1.4987,1.3908,0.0388
1.524,1.3948,0.0131
1.549,1.3942,0.0203
1.5747,1.3975,0.0223
1.6001,1.4226,0.0419
1.491,1.4066,0.004
1.552,1.3959,0.0042
1.615,1.3976,0.0043
1.675,1.3982,0.0155
1.735,1.3927,0.0165
1.795,1.3966,0.0089
1.853,1.3719,0.0315
1.913,1.3708,0.0184
1.97,1.3952,0.011
2.028,1.3674,0.0067
2.084,1.4002,0.0051
2.14,1.4098,0.0146
2.196,1.4098,0.0063
2.252,1.4204,0.0219
2.306,1.4059,0.0212
2.361,1.4742,0.0323
2.414,1.4353,0.0282
2.466,1.4121,0.0626
2.519,,
2.57,,
