wave,refl,refl_err
0.8289,1.2791,0.0135
0.8533,1.2593,0.0167
0.8776,1.2844,0.0075
0.9021,1.3015,0.016
0.9265,1.2851,0.0046
0.951,1.2449,0.0055
0.9755,1.2605,0.0114
1.0001,1.2458,0.0119
1.0247,1.2377,0.0083
1.0493,1.2732,0.0093
1.074,1.2648,0.0061
1.0987,1.2922,0.0016
1.1234,1.3028,0.0053
1.1482,1.3451,0.0001
1.173,1.3607,0.0148
1.1978,1.3534,0.0024
1.2227,1.3777,0.0191
1.2476,1.3901,0.0176
1.2726,1.4146,0.0176
1.2976,1.4368,0.0027
1.3226,1.4367,0.0036
1.3476,1.4521,0.0004
1.3727,,
1.3978,,
1.423,,
1.4482,1.4766,0.0128
1.4734,1.5138,0.0104
1.4987,1.559,0.0001
1.524,1.5743,0.0193
1.549,1.6005,0.0033
1.5747,1.5958,0.0159
1.6001,1.6405,0.0096
1.491,1.5613,0.0015
1.552,1.5866,0.0001
1.615,1.622,0.0013
1.675,1.6398,0.0018
1.735,1.6576,0.0018
1.795,,
1.853,,
1.913,,
1.97,,
2.028,1.6663,0.0011
2.084,1.667,0.005
2.14,1.6664,0.0016
2.196,1.7148,0.0011
2.252,1.6839,0.0077
2.306,1.7565,0.0032
2.361,1.7709,0.0052
2.414,1.761,0.0024
2.466,1.7405,0.0034
2.519,,
2.57,,
