wave,refl,refl_err
0.8289,1.0964,0.0024
0.8533,1.0762,0.0037
0.8776,1.0588,0.0039
0.9021,1.0463,0.0015
0.9265,1.0442,0.0022
0.951,1.0508,0.0035
0.9755,1.0748,0.0008
1.0001,1.0962,0.0028
1.0247,1.1149,0.0027
1.0493,1.124,0.0027
1.074,1.1351,0.0024
1.0987,1.1473,0.0017
1.1234,1.163,0.0023
1.1482,1.1797,0.0019
1.173,1.1876,0.0031
1.1978,1.2004,0.0013
1.2227,1.2088,0.0025
1.2476,1.2152,0.0028
1.2726,1.225,0.0018
1.2976,1.2281,0.0033
1.3226,1.2405,0.0026
1.3476,1.2444,0.0093
1.3727,1.25,0.0223
1.3978,1.2616,0.0208
1.423,1.2615,0.0132
1.4482,1.2655,0.0065
1.4734,1.2643,0.0058
1.4987,1.2715,0.0025
1.524,1.2704,0.0008
1.549,1.266,0.0015
1.5747,1.2623,0.001
1.6001,1.2548,0.0009
1.491,1.2729,0.0002
1.552,1.2649,0.0001
1.615,1.2572,0.0001
1.675,1.2465,0.002
1.735,1.2328,0.0015
1.795,1.223,0.0059
1.853,1.2099,0.0105
1.913,1.2084,0.0067
1.97,1.2167,0.0021
2.028,1.2266,0.0006
2.084,1.233,0.0003
2.14,1.2422,0.0019
2.196,1.2472,0.0021
2.252,1.2566,0.0035
2.306,1.2637,0.0026
2.361,1.2676,0.0014
2.414,1.2648,0.0034
2.466,1.2718,0.006
2.519,1.2707,0.0105
2.57,,
