wave,refl,refl_err
0.8289,1.0962,0.01
0.8533,1.0775,0.0105
0.8776,1.0608,0.012
0.9021,1.0587,0.0069
0.9265,1.0457,0.0065
0.951,1.0553,0.0075
0.9755,1.0652,0.0025
1.0001,1.0723,0.0048
1.0247,1.0864,0.0044
1.0493,,
1.074,,
1.0987,,
1.1234,1.111,0.0089
1.1482,1.131,0.0005
1.173,1.1398,0.0029
1.1978,1.1528,0.002
1.2227,1.1509,0.0006
1.2476,1.1564,0.0017
1.2726,1.1623,0.0013
1.2976,1.1736,0.0007
1.3226,1.184,0.0012
1.3476,1.1854,0.008
1.3727,,
1.3978,,
1.423,1.1973,0.0065
1.4482,1.2051,0.0056
1.4734,1.2199,0.0011
1.4987,1.2217,0.0033
1.524,1.2383,0.0035
1.549,1.243,0.0001
1.5747,1.2398,0.0006
1.6001,1.2312,0.0078
1.491,1.2375,0.0008
1.552,1.2266,0.0006
1.615,1.2206,0.0002
1.675,1.2109,0.0006
1.735,1.1892,0.0003
1.795,,
1.853,,
1.913,,
1.97,,
2.028,1.1863,0.0081
2.084,1.195,0.0038
2.14,1.2117,0.0057
2.196,1.2116,0.0021
2.252,1.2241,0.0072
2.306,1.2282,0.0085
2.361,1.2344,0.0107
2.414,1.2427,0.0119
2.466,1.2563,0.0141
2.519,,
2.57,,
