wave,refl,refl_err
0.8289,,0.0359
0.8533,1.0594,0.0275
0.8776,,0.0841
0.9021,1.0277,0.0343
0.9265,1.0563,0.0034
0.951,1.0666,0.0547
0.9755,1.0476,0.0035
1.0001,1.0276,0.0017
1.0247,1.0387,0.0365
1.0493,1.0685,0.0126
1.074,1.0841,0.0308
1.0987,1.0822,0.038
1.1234,1.0815,0.0244
1.1482,1.1265,0.0106
1.173,1.1195,0.0258
1.1978,1.0731,0.0484
1.2227,1.0743,0.0383
1.2476,1.1191,0.0176
1.2726,1.0656,0.0109
1.2976,1.105,0.0332
1.3226,1.1137,0.0166
1.3476,1.0421,0.0232
1.3727,1.0659,0.0114
1.3978,1.1349,0.0484
1.423,1.1638,0.0028
1.4482,1.2031,0.015
1.4734,1.1246,0.0378
1.4987,1.194,0.0159
1.524,1.1939,0.0069
1.549,1.2063,0.0095
1.5747,1.2243,0.032
1.6001,1.1875,0.0406
1.491,1.1605,
1.552,1.209,
1.615,1.2333,
1.675,1.2033,
1.735,1.2307,
1.795,1.2007,
1.853,1.1713,
1.913,1.2467,
1.97,1.2092,
2.028,1.2346,
2.084,1.2467,
2.14,1.3191,
2.196,1.3255,
2.252,1.285,
2.306,1.3158,
2.361,1.2908,
2.414,1.2384,
2.466,1.1824,
2.519,1.3787,
2.57,1.1826,
