0.8289 2.5  1.0465   241
0.8533 2.5  1.0632   330
0.8776 2.5  1.0480   296
0.9021 2.5  1.0287   305
0.9265 2.5  1.0210   377
0.9510 2.5  1.0269   339
0.9755 2.5  1.0668   123
1.0001 2.5  1.0426   134
1.0247 2.5  1.0643   234
1.0493 2.5  1.0901   172
1.0740 2.5  1.1159   193
1.0987 2.5  1.0833   338
1.1234 2.5  1.1582   197
1.1482 2.5  1.2163   131
1.1730 2.5  1.1916   356
1.1978 2.5  1.1992   291
1.2227 2.5  1.1948   351
1.2476 2.5  1.2525   285
1.2726 2.5  1.2332   192
1.2976 2.5  1.3107   140
1.3226 2.5  1.2775   344
1.3476 2.5  1.3079   392
1.3727 2.5  1.3508   871
1.3978 2.5  1.3362   552
1.4230 2.5  1.3669   431
1.4482 2.5  1.3542   329
1.4734 2.5  1.4039   229
1.4910 5.0  1.3843    16
1.4987 2.5  1.3915   219
1.5240 2.5  1.4163   304
1.5490 2.5  1.4049    74
1.5520 5.0  1.4117   109
1.5747 2.5  1.3993   181
1.6001 2.5  1.3882   312
1.6150 5.0  1.4040   175
1.6750 5.0  1.3657    86
1.7350 5.0  1.3557     9
1.7950 5.0  1.3757   216
1.8530 5.0  1.3198    86
1.9130 5.0  1.3514    98
1.9700 5.0  1.3273    37
2.0280 5.0  1.3201    42
2.0840 5.0  1.3436    55
2.1400 5.0  1.3376    42
2.1960 5.0  1.3803     4
2.2520 5.0  1.3873   138
2.3060 5.0  1.3952    85
2.3610 5.0  1.3734   217
2.4140 5.0  1.4128   525
2.4660 5.0  1.3935   522
2.5190 5.0 -0.9999 -9999
2.5700 5.0 -0.9999 -9999
