0.8289 2.5  0.9378    42
0.8533 2.5  0.8744    37
0.8776 2.5  0.8137    33
0.9021 2.5  0.7685    61
0.9265 2.5  0.7513    54
0.9510 2.5  0.7670    23
0.9755 2.5  0.7995    26
1.0001 2.5  0.8544    49
1.0247 2.5  0.9301    46
1.0493 2.5  0.9952    14
1.0740 2.5  1.0497    54
1.0987 2.5  1.0863    81
1.1234 2.5  1.1176    86
1.1482 2.5  1.1396    58
1.1730 2.5  1.1481    51
1.1978 2.5  1.1529    64
1.2227 2.5  1.1613    63
1.2476 2.5  1.1695    45
1.2726 2.5  1.1800    22
1.2976 2.5  1.1877    12
1.3226 2.5  1.1939     6
1.3476 2.5  1.2052    45
1.3727 2.5  1.2235    90
1.3978 2.5  1.2304   139
1.4230 2.5  1.2228    94
1.4482 2.5  1.2094    57
1.4734 2.5  1.1989    32
1.4910 5.0  1.1974     5
1.4987 2.5  1.1838    18
1.5240 2.5  1.1742    19
1.5490 2.5  1.1586     7
1.5520 5.0  1.1478    12
1.5747 2.5  1.1323    12
1.6001 2.5  1.1118     5
1.6150 5.0  1.1001    34
1.6750 5.0  1.0497    11
1.7350 5.0  1.0040     1
1.7950 5.0  0.9708     1
1.8530 5.0  0.9514    33
1.9130 5.0  0.9258     4
1.9700 5.0  0.9170    17
2.0280 5.0  0.9223    21
2.0840 5.0  0.9440    39
2.1400 5.0  0.9817    64
2.1960 5.0  1.0190    65
2.2520 5.0  1.0570    76
2.3060 5.0  1.0878    30
2.3610 5.0  1.1185    78
2.4140 5.0  1.1496    49
2.4660 5.0  1.1843    33
2.5190 5.0  1.1983    31
2.5700 5.0  1.2435    29
