0.8289 2.5  1.2583    59
0.8533 2.5  1.2246   115
0.8776 2.5  1.2237   146
0.9021 2.5  1.2058   130
0.9265 2.5  1.2102   105
0.9510 2.5  1.2058   157
0.9755 2.5  1.1931   123
1.0001 2.5  1.2059    94
1.0247 2.5  1.2295   124
1.0493 2.5  1.2449    82
1.0740 2.5  1.2429    48
1.0987 2.5  1.2903   120
1.1234 2.5  1.3114    60
1.1482 2.5  1.3369    57
1.1730 2.5  1.3763   153
1.1978 2.5  1.4178   201
1.2227 2.5  1.4374   159
1.2476 2.5  1.4521   187
1.2726 2.5  1.4724   142
1.2976 2.5  1.4745   177
1.3226 2.5  1.5077    32
1.3476 2.5  1.5440    60
1.3727 2.5  1.5834   137
1.3978 2.5  1.5992   344
1.4230 2.5 -0.9999 -9999
1.4482 2.5  1.6326   214
1.4734 2.5  1.6673   167
1.4910 5.0  1.6797    10
1.4987 2.5  1.6848    59
1.5240 2.5  1.6956    15
1.5490 2.5  1.6890    93
1.5520 5.0  1.7141    70
1.5747 2.5  1.7144    73
1.6001 2.5  1.7027   125
1.6150 5.0  1.7118    80
1.6750 5.0  1.7085    98
1.7350 5.0  1.7013     4
1.7950 5.0  1.6760    16
1.8530 5.0  1.6626   133
1.9130 5.0  1.6407   215
1.9700 5.0  1.6367   175
2.0280 5.0  1.6782    81
2.0840 5.0  1.6910   241
2.1400 5.0  1.7276    74
2.1960 5.0  1.7563    47
2.2520 5.0  1.7781    83
2.3060 5.0  1.7986    62
2.3610 5.0  1.7794    35
2.4140 5.0  1.8197    47
2.4660 5.0  1.8313   194
2.5190 5.0  1.8705   109
2.5700 5.0 -0.9999 -9999
