0.8289 2.5 -0.9999 -9999
0.8533 2.5 -0.9999 -9999
0.8776 2.5  1.0106   324
0.9021 2.5  0.9862   475
0.9265 2.5  0.9879   179
0.9510 2.5  1.0360   157
0.9755 2.5  0.9940   220
1.0001 2.5  1.0014   275
1.0247 2.5  1.0017    60
1.0493 2.5  0.9877   184
1.0740 2.5  0.9808   180
1.0987 2.5  0.9809   108
1.1234 2.5  0.9807   246
1.1482 2.5  0.9741   106
1.1730 2.5  0.9611   292
1.1978 2.5  0.9945   269
1.2227 2.5  0.9839   182
1.2476 2.5  0.9914   414
1.2726 2.5  1.0001   171
1.2976 2.5  0.9759   216
1.3226 2.5  0.9589   150
1.3476 2.5 -0.9999 -9999
1.3727 2.5 -0.9999 -9999
1.3978 2.5 -0.9999 -9999
1.4230 2.5 -0.9999 -9999
1.4482 2.5 -0.9999 -9999
1.4734 2.5  1.0063   132
1.4910 5.0  0.9953    74
1.4987 2.5  0.9966   130
1.5240 2.5  0.9765    95
1.5490 2.5  0.9785   245
1.5520 5.0  0.9885    37
1.5747 2.5  0.9785   158
1.6001 2.5  1.0191    36
1.6150 5.0  0.9760    35
1.6750 5.0  1.0041   117
1.7350 5.0  0.9935   204
1.7950 5.0 -0.9999 -9999
1.8530 5.0 -0.9999 -9999
1.9130 5.0 -0.9999 -9999
1.9700 5.0 -0.9999 -9999
2.0280 5.0  1.0334    34
2.0840 5.0  1.0454    34
2.1400 5.0  1.0770    50
2.1960 5.0  1.0539    19
2.2520 5.0  1.0509    30
2.3060 5.0  1.0689    26
2.3610 5.0  1.1323   430
2.4140 5.0  1.0691    89
2.4660 5.0 -0.9999 -9999
2.5190 5.0 -0.9999 -9999
2.5700 5.0 -0.9999 -9999
