0.330 0.0300   .87 .06
0.355 0.0300   .72 .03
0.400 0.0245   .77 .08
0.430 0.0260   .77 .05
0.470 0.0252   .87 .06
0.500 0.0258   .88 .06
0.540 0.0265   .93 .09
0.570 0.0270  1.05 .05
0.600 0.0285   .99 .05
0.635 0.0295  1.00 .07
0.670 0.0245  1.11 .08
0.700 0.0255  1.12 .03
0.730 0.0265  1.08 .06
0.765 0.0275  1.20 .06
0.800 0.0285  1.30 .13
