0.340 0.0220   .51 .24
0.355 0.0300   .73 .30
0.400 0.0245   .65 .03
0.430 0.0260   .71 .03
0.470 0.0252   .83 .03
0.500 0.0258   .89 .03
0.540 0.0265   .97 .03
0.570 0.0270  1.01 .03
0.600 0.0285  1.03 .03
0.635 0.0295  1.15 .03
0.670 0.0245  1.16 .03
0.700 0.0255  1.21 .05
0.730 0.0265  1.23 .03
0.765 0.0275  1.27 .03
0.800 0.0285  1.23 .07
0.870 0.0240  1.04 .08
0.900 0.0250  1.07 .08
0.950 0.0510  1.10 .08
1.000 0.0280  1.24 .11
