0.330 0.0300   .53 .17
0.340 0.0220   .44 .06
0.355 0.0300   .51 .03
0.400 0.0245   .63 .03
0.430 0.0260   .68 .03
0.470 0.0252   .79 .03
0.500 0.0258   .86 .03
0.540 0.0265   .95 .03
0.570 0.0270  1.00 .03
0.600 0.0285  1.04 .03
0.635 0.0295  1.11 .03
0.670 0.0245  1.16 .04
0.700 0.0255  1.21 .03
0.730 0.0265  1.22 .03
0.765 0.0275  1.23 .03
0.800 0.0285  1.20 .04
0.900 0.0250  1.11 .03
0.950 0.0510  1.08 .03
1.000 0.0280  1.05 .03
1.030 0.0290  1.07 .04
