0.4350	0.8566	0.0597	1
0.4375	0.8798	0.0538	1
0.4400	0.8163	0.0482	1
0.4425	0.8301	0.0315	1
0.4450	0.8070	0.0285	1
0.4475	0.8296	0.0273	1
0.4500	0.8487	0.0250	1
0.4525	0.8792	0.0233	1
0.4550	0.8792	0.0216	1
0.4575	0.8608	0.0201	1
0.4600	0.8563	0.0193	1
0.4625	0.8822	0.0184	1
0.4650	0.8951	0.0173	1
0.4675	0.8809	0.0162	1
0.4700	0.8897	0.0151	1
0.4725	0.9225	0.0144	1
0.4750	0.9111	0.0136	1
0.4775	0.8921	0.0130	1
0.4800	0.8797	0.0129	1
0.4825	0.9241	0.0128	1
0.4850	0.9431	0.0120	1
0.4875	0.9154	0.0113	1
0.4900	0.9349	0.0109	1
0.4925	0.9171	0.0104	1
0.4950	0.9271	0.0102	1
0.4975	0.9360	0.0100	1
0.5000	0.9542	0.0096	1
0.5025	0.9282	0.0091	1
0.5050	0.9426	0.0089	1
0.5075	0.9420	0.0086	1
0.5100	0.9446	0.0085	1
0.5125	0.9450	0.0085	1
0.5150	0.9597	0.0084	1
0.5175	0.9810	0.0080	1
0.5200	0.9735	0.0077	1
0.5225	0.9454	0.0074	1
0.5250	0.9786	0.0073	1
0.5275	0.9852	0.0070	1
0.5300	0.9781	0.0069	1
0.5325	0.9738	0.0067	1
0.5350	0.9765	0.0066	1
0.5375	0.9883	0.0065	1
0.5400	0.9970	0.0064	1
0.5425	0.9861	0.0062	1
0.5450	0.9985	0.0061	1
0.5475	1.0039	0.0060	1
0.5500	1.0042	0.0062	1
0.5525	1.0128	0.0074	1
0.5550	1.0101	0.0077	1
0.5575	1.0158	0.0070	1
0.5600	1.0092	0.0059	1
0.5625	1.0182	0.0056	1
0.5650	1.0107	0.0055	1
0.5675	1.0275	0.0055	1
0.5700	1.0302	0.0054	1
0.5725	1.0169	0.0053	1
0.5750	1.0191	0.0052	1
0.5775	1.0268	0.0051	1
0.5800	1.0400	0.0051	1
0.5825	1.0287	0.0052	1
0.5850	1.0203	0.0055	1
0.5875	1.0518	0.0056	1
0.5900	1.0552	0.0052	1
0.5925	1.0301	0.0049	1
0.5950	1.0349	0.0049	1
0.5975	1.0409	0.0048	1
0.6000	1.0527	0.0047	1
0.6025	1.0481	0.0046	1
0.6050	1.0494	0.0046	1
0.6075	1.0432	0.0045	1
0.6100	1.0578	0.0045	1
