0.330 0.0300   .70 .03
0.355 0.0300   .63 .03
0.400 0.0245   .75 .03
0.430 0.0260   .80 .03
0.470 0.0252   .81 .03
0.500 0.0258   .92 .03
0.540 0.0265   .90 .03
0.570 0.0270  1.02 .03
0.600 0.0285  1.07 .03
0.635 0.0295  1.13 .03
0.670 0.0245  1.18 .03
0.700 0.0255  1.17 .01
0.730 0.0265  1.22 .03
0.765 0.0275  1.22 .05
0.800 0.0285  1.17 .03
