0.355 0.0300   .62 .03
0.400 0.0245   .75 .11
0.430 0.0260   .88 .03
0.470 0.0252   .81 .08
0.500 0.0258   .90 .05
0.540 0.0265   .96 .12
0.570 0.0270  1.00 .10
0.600 0.0285  1.05 .06
0.635 0.0295  1.05 .09
0.670 0.0245  1.12 .03
0.700 0.0255  1.21 .07
0.730 0.0265  1.14 .03
0.765 0.0275  1.04 .05
0.800 0.0285  1.22 .10
0.830 0.0295  1.13 .18
