0.330 0.0300   .74 .09
0.340 0.0220   .73 .11
0.355 0.0300   .84 .07
0.400 0.0245   .94 .03
0.430 0.0260   .93 .03
0.470 0.0252   .97 .03
0.500 0.0258   .99 .03
0.540 0.0265   .99 .03
0.570 0.0270  1.00 .03
0.600 0.0285   .98 .03
0.635 0.0295  1.01 .03
0.670 0.0245  1.02 .02
0.700 0.0255   .99 .03
0.730 0.0265   .96 .03
0.765 0.0275  1.03 .03
0.800 0.0285  1.03 .04
0.830 0.0295   .99 .07
0.870 0.0240  1.04 .16
0.900 0.0250  1.00 .03
0.930 0.0260   .99 .08
0.950 0.0510  1.06 .04
0.970 0.0270  1.03 .10
1.000 0.0280  1.01 .04
1.030 0.0290   .95 .10
