0.330 0.0300   .69 .03
0.355 0.0300   .75 .03
0.400 0.0245   .88 .03
0.430 0.0260   .91 .03
0.470 0.0252   .89 .03
0.500 0.0258   .93 .05
0.540 0.0265  1.00 .04
0.570 0.0270  1.00 .03
0.600 0.0285   .98 .03
0.635 0.0295  1.02 .03
0.670 0.0245   .95 .03
0.700 0.0255  1.00 .01
0.730 0.0265   .91 .03
0.765 0.0275   .97 .03
0.800 0.0285   .99 .03
0.830 0.0295   .97 .03
0.870 0.0240  1.08 .03
0.900 0.0250  1.05 .06
0.930 0.0260  1.05 .03
0.970 0.0270  1.05 .03
1.030 0.0290  1.17 .03
