0.330 0.0300   .94 .06
0.355 0.0300   .96 .06
0.400 0.0245  1.00 .04
0.430 0.0260   .96 .04
0.470 0.0252   .96 .03
0.500 0.0258   .92 .03
0.540 0.0265  1.04 .05
0.570 0.0270  1.00 .06
0.600 0.0285  1.03 .05
0.635 0.0295  1.04 .05
0.670 0.0245  1.06 .04
0.700 0.0255  1.09 .09
0.730 0.0265  1.02 .04
0.765 0.0275  1.00 .03
0.800 0.0285   .97 .03
0.830 0.0295  1.02 .03
0.870 0.0240   .94 .03
0.900 0.0250  1.00 .03
0.930 0.0260   .94 .04
0.970 0.0270   .97 .03
1.000 0.0280  1.00 .06
1.030 0.0290   .83 .10
