 338 Budrosa      2005-08-12T01:40  360 NTT  SOFI    GBF   1.14 hip083805(1.23)                                                
 338 Budrosa      2005-08-12T02:10  280 NTT  SOFI    GRF   1.22 hip083805(1.23)                                                
 347 Pariana      2005-08-13T06:57  420 NTT  EMMI    GR1   1.02 HD1835(1.07)                                                   
 347 Pariana      2005-08-12T07:30  480 NTT  SOFI    GBF   1.04 hip103579(1.06)                                                
 347 Pariana      2005-08-12T07:39  480 NTT  SOFI    GRF   1.05 hip103579(1.06)                                                
 369 Aeria        2005-08-13T01:08  240 NTT  EMMI    GR1   1.07 HD144585(1.05)                                                 
 369 Aeria        2005-08-12T02:49  240 NTT  SOFI    GRF   1.33 hip083805(1.23)                                                
 369 Aeria        2005-08-12T02:56  280 NTT  SOFI    GBF   1.36 hip083805(1.23)                                                
 382 Dodona       2005-08-13T00:34  300 NTT  EMMI    GR1   1.45 HD144585(1.22)                                                 
 418 Alemannia    2007-01-20T09:05  360 NTT  EMMI    GR1   1.13 la98-978(1.22)                                                 
 441 Bathilde     2005-08-13T05:58  180 NTT  EMMI    GR1   1.21 HD1835(1.07)                                                   
 441 Bathilde     2005-08-12T04:54  280 NTT  SOFI    GBF   1.10 hip096165(1.09)                                                
 441 Bathilde     2005-08-12T05:01  280 NTT  SOFI    GRF   1.10 hip096165(1.09)                                                
 498 Tokio        2005-08-13T05:45   60 NTT  EMMI    GR1   1.10 HD1835(1.07)                                                   
 498 Tokio        2005-08-12T05:37  120 NTT  SOFI    GRF   1.07 hip103572(1.06)                                                
 498 Tokio        2005-08-12T05:40  160 NTT  SOFI    GBF   1.08 hip103572(1.06)                                                
 516 Amherstia    2004-11-19T00:07  360 TNG  NICS    Amici 1.20 la98-978(1.17)                                                 
 516 Amherstia    2007-01-20T09:23   60 NTT  EMMI    GR1   1.07 la102-1081(1.22)                                               
 558 Carmen       2005-08-13T00:50  480 NTT  EMMI    GR1   1.49 HD144585(1.22)                                                 
 755 Quintilla    2005-08-13T02:32  600 NTT  EMMI    GR1   1.08 HD144585(1.07)                                                 
 755 Quintilla    2005-08-14T02:56  600 NTT  SOFI    GBF   1.03 hip99046(1.01)                                                 
 755 Quintilla    2005-08-14T03:19  960 NTT  SOFI    GRF   1.05 hip99046(1.01)                                                 
 785 Zwetana      2004-02-29T22:06  240 TNG  Dolores LR-R  1.46 la102-1081(1.34)                                               
 785 Zwetana      2004-03-01T22:02  960 TNG  NICS    Amici 1.39 hyades64(1.21)                                                 
 785 Zwetana      2005-08-12T23:03  240 NTT  EMMI    GR1   1.08 HD144585(1.05)                                                 
 849 Ara          2004-11-15T20:10  120 TNG  Dolores LR-R  1.09 HD28099(1.05)                                                  
 849 Ara          2004-11-15T20:19  120 TNG  Dolores LR-B  1.10 hyades64(1.03)                                                 
 849 Ara          2005-08-12T09:55  480 NTT  SOFI    GBF   1.73 hip11355(1.49)                                                 
 849 Ara          2005-08-12T10:05  480 NTT  SOFI    GRF   1.69 hip11355(1.49)                                                 
 860 Ursina       2004-11-20T02:03  180 TNG  Dolores LR-R  1.15 hyades64(1.02)                                                 
 860 Ursina       2004-11-20T02:07  240 TNG  Dolores MR-B  1.16 hyades64(1.02)                                                 
 860 Ursina       2004-11-18T22:48  480 TNG  NICS    Amici 1.03 hyades64(1.03)                                                 
 872 Holda        2004-11-20T21:34  300 TNG  Dolores LR-R  1.18 la115-271(1.16)                                                
 872 Holda        2004-11-20T21:40  300 TNG  Dolores MR-B  1.19 la115-271(1.16)                                                
 872 Holda        2005-11-16T12:51  600 IRTF SPEX    Prism 1.01 hyades64(1.15),la115-270(1.10),la93-101(1.20)                  
