0.330 0.0300   .71 .03
0.355 0.0300   .62 .09
0.400 0.0245   .66 .03
0.430 0.0260   .72 .03
0.470 0.0252   .76 .03
0.500 0.0258   .80 .03
0.540 0.0265   .98 .03
0.570 0.0270  1.00 .03
0.600 0.0285  1.05 .03
0.635 0.0295  1.16 .05
0.670 0.0245  1.09 .03
0.700 0.0255  1.15 .02
0.730 0.0265  1.10 .03
0.765 0.0275  1.13 .06
0.800 0.0285  1.18 .03
