0.355 0.0300   .80 .35
0.400 0.0245   .76 .11
0.430 0.0260   .87 .10
0.470 0.0252   .84 .09
0.500 0.0258   .80 .03
0.540 0.0265   .97 .06
0.570 0.0270  1.03 .04
0.600 0.0285   .96 .04
0.635 0.0295   .95 .03
0.670 0.0245   .88 .04
0.700 0.0255   .90 .05
0.730 0.0265   .98 .08
0.765 0.0275   .78 .08
0.800 0.0285   .75 .05
0.830 0.0295   .78 .06
0.870 0.0240   .68 .08
0.900 0.0250   .77 .12
0.930 0.0260   .54 .08
