0.330 0.0300   .49 .08
0.355 0.0300   .64 .05
0.400 0.0245   .72 .03
0.430 0.0260   .82 .03
0.470 0.0252   .86 .03
0.500 0.0258   .93 .03
0.540 0.0265   .93 .03
0.570 0.0270  1.00 .03
0.600 0.0285  1.06 .03
0.635 0.0295  1.06 .03
0.670 0.0245  1.15 .03
0.700 0.0255  1.16 .05
0.730 0.0265  1.16 .03
0.765 0.0275  1.17 .03
0.800 0.0285  1.21 .03
0.830 0.0295  1.12 .03
0.870 0.0240  1.22 .19
0.900 0.0250  1.33 .28
0.930 0.0260   .91 .09
0.970 0.0270   .94 .06
1.000 0.0280   .86 .08
1.030 0.0290  1.19 .14
