0.330 0.0300   .79 .09
0.355 0.0300   .81 .14
0.400 0.0245   .84 .03
0.430 0.0260   .83 .03
0.470 0.0252   .92 .05
0.500 0.0258   .98 .04
0.540 0.0265   .97 .06
0.570 0.0270  1.00 .05
0.600 0.0285  1.04 .05
0.635 0.0295  1.11 .06
0.670 0.0245  1.07 .04
0.700 0.0255  1.19 .08
0.730 0.0265  1.17 .03
0.765 0.0275  1.07 .04
0.800 0.0285  1.24 .05
0.830 0.0295  1.30 .03
0.870 0.0240  1.52 .10
0.900 0.0250  1.50 .06
0.930 0.0260  1.40 .18
0.970 0.0270  1.64 .13
