0.330 0.0300   .56 .10
0.340 0.0220   .64 .20
0.355 0.0300   .72 .10
0.400 0.0245   .70 .03
0.430 0.0260   .66 .04
0.470 0.0252   .88 .03
0.500 0.0258   .91 .03
0.540 0.0265   .91 .03
0.570 0.0270  1.02 .03
0.600 0.0285  1.05 .03
0.635 0.0295  1.12 .03
0.670 0.0245  1.11 .04
0.700 0.0255  1.14 .03
0.730 0.0265  1.20 .04
0.765 0.0275  1.08 .04
0.800 0.0285  1.12 .04
0.830 0.0295  1.12 .05
0.870 0.0240  1.18 .05
0.900 0.0250  1.03 .05
0.930 0.0260  1.16 .07
0.970 0.0270  1.01 .06
1.000 0.0280  1.24 .06
1.030 0.0290  1.06 .07
