0.355 0.0300  1.09 .18
0.400 0.0245  1.10 .10
0.430 0.0260  1.10 .09
0.470 0.0252   .98 .05
0.500 0.0258  1.00 .03
0.540 0.0265   .87 .05
0.570 0.0270  1.08 .08
0.600 0.0285   .96 .03
0.635 0.0295  1.08 .05
0.670 0.0245   .97 .03
0.700 0.0255   .92 .05
0.730 0.0265   .89    
0.765 0.0275  1.01 .06
0.800 0.0285  1.03 .10
0.830 0.0295   .97 .12
