0.330 0.0300   .47 .25
0.340 0.0220   .60 .20
0.355 0.0300   .66 .12
0.400 0.0245   .83 .05
0.430 0.0260   .80 .04
0.470 0.0252   .91 .03
0.500 0.0258   .96 .03
0.540 0.0265   .95 .03
0.570 0.0270  1.03 .04
0.600 0.0285   .99 .03
0.635 0.0295  1.12 .04
0.670 0.0245  1.17 .04
0.700 0.0255  1.21 .06
0.730 0.0265  1.22 .04
0.765 0.0275  1.19 .05
0.800 0.0285  1.27 .06
0.830 0.0295  1.34 .07
0.870 0.0240  1.56 .05
0.900 0.0250  1.20 .11
0.930 0.0260  1.44 .09
0.970 0.0270  1.37 .17
1.000 0.0280  1.63 .18
1.030 0.0290  1.40 .25
