0.355 0.0300   .78 .08
0.400 0.0245   .72 .05
0.430 0.0260   .75 .04
0.470 0.0252   .72 .10
0.500 0.0258   .98 .06
0.540 0.0265   .71 .03
0.570 0.0270  1.13 .13
0.600 0.0285  1.03 .17
0.635 0.0295  1.00 .06
0.670 0.0245  1.19 .08
0.700 0.0255  1.22 .09
0.730 0.0265  1.09 .10
0.765 0.0275  1.32 .11
0.800 0.0285  1.17 .11
