0.340 0.0220   .52 .10
0.355 0.0300   .80 .10
0.400 0.0245   .76 .03
0.430 0.0260   .75 .03
0.470 0.0252   .84 .03
0.500 0.0258   .83 .03
0.540 0.0265   .90 .03
0.570 0.0270  1.02 .03
0.600 0.0285  1.07 .03
0.635 0.0295  1.12 .03
0.670 0.0245  1.18 .03
0.700 0.0255  1.15 .05
0.730 0.0265  1.23 .03
0.765 0.0275  1.21 .03
0.800 0.0285  1.31 .03
0.870 0.0240  1.22 .04
0.900 0.0250  1.12 .03
0.950 0.0510  1.12 .04
1.000 0.0280  1.25 .04
