0.330 0.0300   .83 .12
0.340 0.0220  1.08 .15
0.355 0.0300   .78 .15
0.400 0.0245   .91 .04
0.430 0.0260   .85 .04
0.470 0.0252   .98 .04
0.500 0.0258   .95 .03
0.540 0.0265   .97 .04
0.570 0.0270  1.02 .04
0.600 0.0285   .97 .04
0.635 0.0295  1.00 .03
0.670 0.0245   .98 .08
0.700 0.0255  1.02 .06
0.730 0.0265   .98 .04
0.765 0.0275   .97 .05
0.800 0.0285   .97 .05
0.830 0.0295   .99 .05
0.870 0.0240  1.06 .05
0.900 0.0250   .97 .07
0.930 0.0260  1.20 .10
0.970 0.0270  1.00 .08
1.000 0.0280   .98 .15
1.030 0.0290  1.12 .20
