    1 ceres1   1987-07-04  7.5 -99.9   5.56 1.86 2.85 0.50 1.00 3 CTIO2 6 
    1 ceres2   1992-04-20  8.3 -99.9 -20.20 2.81 2.91 0.49 0.99 5 CTIO2 4 
    2 pallas   1988-09-08  9.0 -99.9  13.20 2.68 3.41 0.33 0.85 5 UAO   1 
   17 thetis   1985-06-04 12.5 -99.9 -26.99 1.92 2.23 0.50 1.00 3 CTIO2 5 
   19 fortuna  1992-04-19 10.3 -99.9   2.50 1.82 2.82 0.49 0.99 5 CTIO2 6 
   31 euphrosy 1992-04-20 12.1 -99.9 -12.40 3.10 3.78 0.49 0.99 5 CTIO2 4 
   41 daphne   1990-05-06 11.3 -99.9 -26.00 1.48 2.10 0.33 0.85 5 UAO   4 
   54 alexandr 1991-04-22 11.9 -99.9  11.20 1.84 2.14 0.49 0.99 5 CTIO2 4 
   65 cybele   1982-06-28 12.0  15.5  17.20 2.57 3.13 0.57 1.00 2 UAO   0 
   65 cybele   1982-06-28 12.0   7.5  17.20 2.57 3.13 0.46 0.78 2 UAO   0 
   66 majauv   1991-04-25 -9.9 -99.9 -12.50 2.27 3.09 0.36 0.58 4 CTIO1 6 
   66 maja     1991-04-22 14.3 -99.9 -13.20 2.30 3.09 0.49 0.99 5 CTIO2 4 
   76 freia    1985-06-05 13.2 -99.9  -0.86 2.89 3.90 0.50 1.00 3 CTIO2 6 
   87 sylvia   1983-04-18 12.3  20.0   8.30 2.71 3.61 0.57 1.00 2 UAO   0 
   87 sylvia   1983-04-18 12.3  13.0   8.30 2.71 3.61 0.57 1.00 2 UAO   0 
  102 miriam   1985-06-04 13.2 -99.9 -25.04 1.62 2.22 0.50 1.00 3 CTIO2 5 
  121 hermione 1987-07-04 13.7 -99.9  14.65 3.26 3.75 0.50 1.00 3 CTIO2 6 
  130 elektra  1990-05-06 12.8 -99.9  -7.90 2.80 3.70 0.33 0.85 4 UAO   4 
  134 sophrosy 1991-04-21 13.4 -99.9 -16.10 2.13 2.86 0.49 0.99 5 CTIO2 6 
  142 polana   1992-04-19 12.4 -99.9  14.50 1.21 2.13 0.49 0.99 5 CTIO2 4 
  152 atala    1984-04-24 13.6  60.0   7.60 2.40 3.34 0.49 0.98 2 CTIO2 0 
  153 hilda    1991-04-23 13.0 -99.9 -11.60 2.66 3.46 0.49 0.99 5 CTIO2 6 
  165 loreleuv 1991-04-26 -9.9 -99.9   7.70 2.18 3.12 0.36 0.58 4 CTIO1 6 
  165 loreley  1991-04-24 11.9 -99.9   7.20 2.17 3.12 0.49 0.99 5 CTIO2 6 
  181 eucharis 1990-05-05 13.6 -99.9 -10.20 2.82 3.65 0.33 0.85 4 UAO   2 
  187 lamberta 1991-04-22 10.7 -99.9 -10.80 1.13 2.09 0.49 0.99 5 CTIO2 4 
  190 ismene   1983-04-18 13.6  25.0  11.50 2.96 3.71 0.57 1.00 2 UAO   0 
  225 henriett 1982-05-30 12.5  20.0  14.30 1.67 2.55 0.46 0.78 2 UAO   0 
  225 henriett 1982-05-31 12.5  25.0  14.10 1.67 2.54 0.57 1.00 2 UAO   0 
  276 adelheid 1992-04-19 12.7  12.7  14.20 2.20 2.97 0.49 0.99 5 CTIO2 6 
  292 ludovica 1987-07-03 13.6 -99.9   9.62 1.52 2.48 0.50 1.00 3 CTIO2 6 
  326 tamarauv 1991-04-25 -9.9 -99.9 -10.40 1.00 1.98 0.36 0.58 4 CTIO1 6 
  326 tamara   1991-04-24 11.3 -99.9 -10.90 1.01 1.98 0.49 0.99 5 CTIO2 6 
  334 chicago  1991-04-24 13.9 -99.9 -15.60 3.40 3.72 0.49 0.99 5 CTIO2 6 
  368 haidea   1985-06-05 14.5 -99.9 -22.28 1.85 2.44 0.50 1.00 3 CTIO2 5 
  375 ursula   1991-04-22 12.2 -99.9   6.60 2.23 3.19 0.49 0.99 5 CTIO2 6 
  407 arachne  1991-04-23 13.2 -99.9  10.90 1.91 2.81 0.49 0.99 5 CTIO2 6 
  409 aspasia  1992-04-20 10.9 -99.9  19.20 1.75 2.48 0.49 0.99 5 CTIO2 4 
  420 berthold 1983-04-20 14.2  45.0  11.60 2.78 3.56 0.57 1.00 2 UAO   0 
  433 eros     1984-04-25 12.3 -99.9 -34.84 0.77 1.53 0.50 1.00 3 CTIO2 6 
  466 tisiphon 1982-02-04 13.3  25.0  14.00 2.37 3.15 0.57 1.00 2 UAO   0 
  483 seppina  1987-07-05 14.4 -99.9 -17.08 2.82 3.28 0.50 1.00 3 CTIO2 5 
  495 eulalia  1987-07-06 15.3 -99.9  18.29 2.08 2.76 0.50 1.00 3 CTIO2 6 
  499 venusia  1982-02-04 14.1  25.0   1.40 2.41 3.39 0.57 1.00 2 UAO   0 
  528 rezia    1987-07-06 14.2 -99.9  -6.41 2.40 3.37 0.50 1.00 3 CTIO2 5 
  559 nanon    1990-05-06 13.2 -99.9  10.50 1.62 2.55 0.33 0.85 4 UAO   4 
  566 stereosk 1987-07-05 13.2 -99.9 -10.66 2.38 3.25 0.50 1.00 3 CTIO2 5 
  570 kythera  1987-07-03 13.5 -99.9  -1.00 2.38 3.40 0.50 1.00 3 CTIO2 6 
  606 brangane 1992-04-20 14.2 -99.9   4.10 2.15 3.14 0.49 0.99 5 CTIO2 4 
  624 hektor   1991-04-23 14.5 -99.9   3.40 4.13 5.10 0.49 0.99 5 CTIO2 6 
  643 schehere 1984-04-25 14.6  70.0   5.80 2.30 3.27 0.49 0.98 2 CTIO2 0 
  654 zelinda  1992-04-20 10.8 -99.9 -15.00 1.24 2.15 0.49 0.99 5 CTIO2 4 
  692 hippodam 1985-06-09 14.9 -99.9  -5.26 2.90 3.87 0.50 1.00 3 CTIO2 6 
  695 bella1   1985-06-07 12.2 -99.9  -9.58 1.47 2.43 0.50 1.00 3 CTIO2 6 
  695 bella2   1985-06-09 12.2 -99.9  -9.58 1.47 2.43 0.50 1.00 3 CTIO2 6 
  709 fringill 1992-04-20 13.1 -99.9 -11.20 2.14 3.02 0.49 0.99 5 CTIO2 4 
  733 mocia    1985-06-04 14.2 -99.9   9.06 2.38 3.29 0.50 1.00 3 CTIO2 6 
  748 simeisa  1987-07-04 15.5 -99.9  -9.19 3.55 4.35 0.50 1.00 3 CTIO2 5 
  773 irmintra 1990-04-26 14.5  60.0  21.40 2.20 2.65 0.49 0.98 2 CTIO2 0 
  776 berberic 1990-05-07 13.2 -99.9  13.90 2.69 3.39 0.33 0.85 4 UAO   3 
  797 montana  1985-06-06 15.2 -99.9  24.28 1.97 2.41 0.50 1.00 3 CTIO2 6 
  877 walkure  1985-06-08 14.5 -99.9  -6.44 1.68 2.67 0.50 1.00 3 CTIO2 6 
  844 priamus  1985-06-07 15.3 -99.9   5.04 3.67 4.61 0.50 1.00 3 CTIO2 6 
  908 buda     1987-07-03 15.4 -99.9  -9.34 1.89 2.83 0.50 1.00 3 CTIO2 5 
  914 palisana 1991-04-21 14.8 -99.9  20.10 2.43 2.84 0.49 0.99 5 CTIO2 6 
  914 palisana 1991-04-22 14.8 -99.9  20.20 2.44 2.84 0.49 0.99 5 CTIO2 4 
  940 kordula  1987-07-04 14.3 -99.9  11.65 2.35 3.20 0.50 1.00 3 CTIO2 6 
 1036 ganymed  1984-04-28 14.9 -99.9   7.79 2.65 3.57 0.50 1.00 3 CTIO2 6 
 1162 larissa  1987-07-05 15.1 -99.9  12.18 2.72 3.50 0.50 1.00 3 CTIO2 6 
 1167 dubiago  1985-06-08 15.9 -99.9  17.32 2.93 3.32 0.50 1.00 3 CTIO2 6 
 1172 aneas    1985-06-06 14.8 -99.9   2.16 3.77 4.77 0.50 1.00 3 CTIO2 6 
 1208 troilus  1987-07-04 16.0 -99.9 -11.04 4.20 4.74 0.50 1.00 3 CTIO2 5 
 1368 numidia  1987-07-05 15.4 -99.9  23.79 1.89 2.40 0.50 1.00 3 CTIO2 6 
 1390 abastuma 1984-04-28 14.6  60.0   7.60 2.62 3.54 0.49 0.98 2 CTIO2 0 
 1467 mashona  1987-07-03 13.9 -99.9  15.74 2.40 3.09 0.50 1.00 3 CTIO2 6 
 1512 oulu     1987-07-04 14.4 -99.9  -3.23 2.38 3.38 0.50 1.00 3 CTIO2 6 
 1722 goffin   1987-07-06 15.6 -99.9  -4.37 1.63 2.63 0.50 1.00 3 CTIO2 6 
 1866 sisyphu1 1985-06-05 15.0 -99.9  15.61 0.75 1.72 0.50 1.00 3 CTIO2 6 
 1866 sisyphu2 1985-06-09 15.1 -99.9  19.35 0.75 1.69 0.50 1.00 3 CTIO2 6 
 1867 deiphobu 1984-04-24 15.7  51.5   7.00 4.32 5.15 0.49 0.98 2 CTIO2 0 
 1867 deiphobu 1984-04-26 15.7  30.0   7.20 4.33 5.14 0.49 0.98 2 CTIO2 0 
