   12 B 1983-12-30 1.2791 1.2593 1.2844 1.3015 1.2851 1.2449 1.2605 1.2458 1.2377 1.2732 1.2648 1.2922 1.3028 1.3451 1.3607 1.3534 1.3777 1.3901 1.4146 1.4368 1.4367 1.4521 -.9999 -.9999 -.9999 1.4766 1.5138 1.5590 1.5743 1.6005 1.5958 1.6405 1.5613 1.5866 1.6220 1.6398 1.6576 -.9999 -.9999 -.9999 -.9999 1.6663 1.6670 1.6664 1.7148 1.6839 1.7565 1.7709 1.7610 1.7405 -.9999 -.9999
   13 B 1983-12-28 -.9999 -.9999 0.9903 0.9844 1.0102 1.0001 1.0330 1.0018 1.0130 1.0086 1.0154 1.0272 1.0246 1.0071 1.0160 1.0289 1.0487 1.0678 1.0566 1.0580 1.0515 1.0375 -.9999 -.9999 1.0815 1.0672 1.0391 1.0418 1.0532 1.0643 1.0409 1.0598 1.0523 1.0535 1.0705 1.0413 1.0528 1.0396 -.9999 -.9999 1.0396 1.0674 1.0633 1.0848 1.0543 1.0532 1.0648 1.0698 1.0656 1.0472 1.0360 1.0470
   15 B 1985-09-08 1.2052 1.1803 1.1683 1.1458 1.1436 1.1305 1.1310 1.1294 1.1295 1.1358 1.1528 1.1506 1.1717 1.1913 1.2150 1.2432 1.2452 1.2688 1.2934 1.3071 1.3320 1.3382 1.3550 -.9999 -.9999 -.9999 1.3854 1.4255 1.4465 1.4708 1.4560 1.4605 1.4214 1.4470 1.4703 1.4660 1.4611 1.4462 1.4300 -.9999 -.9999 1.4269 1.4322 1.4521 1.4924 1.4948 1.4881 1.4901 1.4840 1.4790 1.4790 1.4631
   15 B 1985-12-24 1.1816 1.1641 1.1489 1.1337 1.1279 1.1175 1.1193 1.1188 1.1369 1.1358 1.1417 1.1532 1.1699 1.1897 1.2196 1.2417 1.2509 1.2597 1.2843 1.2941 1.3172 1.3255 1.3374 1.3454 1.3728 1.3943 1.4217 1.4364 1.4440 1.4565 1.4637 1.4792 1.4551 1.4612 1.4700 1.4689 1.4522 1.4323 -.9999 -.9999 -.9999 -.9999 1.4174 1.4247 1.4240 1.4298 1.4345 1.4307 1.4312 -.9999 -.9999 -.9999
   16 B 1984-05-31 1.1136 1.1273 1.1516 1.1544 1.1497 1.1748 1.1804 1.2191 1.2437 1.2348 1.2557 1.2585 1.2454 1.2615 1.2792 1.2653 1.2698 1.2637 1.2956 1.2868 1.2743 1.2971 1.3220 1.3304 1.3133 1.3159 1.3113 1.3305 1.3314 1.3363 1.3442 1.3328 1.3359 1.3236 1.3322 1.3396 1.3415 1.3502 1.3548 1.3660 1.3760 1.3778 1.3911 1.3952 1.3953 1.3937 1.4074 1.4188 1.4462 1.4422 1.4569 1.4223
   18 B 1985-12-23 1.1767 1.1695 1.1589 1.1483 1.1384 1.1346 1.1485 1.1734 1.1958 1.2135 1.2284 1.2428 1.2601 1.2713 1.3058 1.3176 1.3242 1.3340 1.3459 1.3537 1.3772 1.3800 1.3820 -.9999 -.9999 -.9999 1.4617 1.4659 1.4585 1.4586 1.4641 1.4644 1.4622 1.4607 1.4583 1.4518 1.4458 1.4337 1.4256 -.9999 -.9999 1.4323 1.4306 1.4470 1.4603 1.4624 1.4777 1.4755 1.4873 1.5022 1.5277 1.5585
   18 B 9999-99-99 1.1619 1.1628 1.1616 1.1588 1.1724 1.1966 1.2220 1.2651 1.2780 1.3222 1.3194 1.3550 1.4087 1.4339 1.4104 1.4241 1.4368 1.4527 1.5205 1.4974 1.5605 1.5621 1.6132 1.6290 1.6233 1.6212 1.6799 1.6717 1.6915 1.6685 1.6963 1.7221 1.6986 1.6569 1.7145 1.7153 1.6940 1.6471 1.6432 1.6334 1.6415 1.6731 1.6985 1.6726 1.7047 1.6922 1.6986 1.6970 1.6901 1.6793 1.6597 1.7065
   19 B 1984-05-31 0.9739 1.0000 1.0069 0.9994 1.0338 1.0507 1.0394 1.0602 1.1209 1.1021 1.1146 1.0771 1.0957 1.0881 1.0932 1.1083 1.1224 1.1362 1.1362 1.1599 1.1569 1.1507 -.9999 -.9999 -.9999 -.9999 -.9999 1.1750 1.1943 1.1980 1.2082 1.2089 -.9999 1.1965 1.2102 1.2367 1.2351 1.2482 1.2633 -.9999 1.2604 1.2592 1.2825 1.2820 1.3023 1.2973 1.2980 1.3190 -.9999 -.9999 -.9999 -.9999
   20 B 1983-11-06 1.1106 1.0965 1.0706 1.0541 1.0468 1.0690 1.0828 1.1177 1.1360 1.1616 1.1690 1.1789 1.2040 1.2204 1.2352 1.2472 1.2505 1.2707 1.2731 -.9999 1.2927 1.3053 -.9999 -.9999 -.9999 -.9999 1.3294 1.3289 1.3218 1.3240 1.3027 1.3130 1.3276 1.3190 1.3118 1.2875 1.2612 1.2470 1.2186 1.2355 1.2414 1.2627 1.2520 1.2931 1.2963 1.2799 1.3017 1.3262 1.3186 1.3250 1.3539 -.9999
   21 B 1984-06-02 1.0504 1.0666 1.0573 1.0672 1.0819 1.0761 1.0923 1.0933 1.0859 1.0876 1.0849 1.0937 1.0924 1.0867 1.0801 1.0787 1.0882 1.0889 1.0791 1.0782 1.0759 -.9999 -.9999 -.9999 -.9999 1.0720 1.0690 1.0838 1.0864 1.0940 1.0748 1.0762 1.0793 1.0734 1.0851 1.0782 -.9999 -.9999 -.9999 -.9999 1.0738 1.0712 1.0610 1.0718 1.0639 1.0601 1.0634 1.0940 1.0518 1.0669 -.9999 -.9999
   22 B 1984-06-03 1.0633 1.0765 1.0926 1.0802 1.0739 1.0906 1.1102 1.1344 1.1473 1.1423 1.1578 1.1617 1.1537 1.1622 1.1778 1.1763 1.1872 1.1832 1.1852 1.1954 1.1855 -.9999 -.9999 -.9999 -.9999 1.1884 1.2006 1.2076 1.2235 1.2294 1.2240 1.2238 1.2168 1.2158 1.2198 1.2274 1.2253 -.9999 -.9999 -.9999 1.2544 1.2665 1.2827 1.2864 1.2888 1.3008 1.3049 1.3176 1.3010 1.2977 1.3055 -.9999
   25 B 1985-01-03 1.2190 1.1912 1.1843 1.1044 1.1209 1.1397 1.1602 1.2349 1.1998 1.2080 1.2323 1.2579 1.2913 1.2988 1.3188 1.3746 1.3984 1.4003 1.4094 1.4694 1.4276 1.4287 1.4820 1.4778 1.4409 1.6134 1.5527 1.5973 1.6099 1.6526 1.6391 1.6112 1.6157 1.6249 1.6254 1.5804 1.5783 1.5619 1.5648 1.5869 1.5591 1.5815 1.5802 1.6122 1.5744 1.6202 1.6325 1.6569 1.6854 1.6154 1.6152 1.7869
   26 B 1985-12-23 1.2144 1.2024 1.1801 1.1622 1.1627 1.1549 1.1536 1.1664 1.1646 1.1724 1.1737 1.1901 1.1930 1.2128 1.2346 -.9999 -.9999 1.2710 1.2899 1.3074 1.3185 1.3307 1.3391 1.3518 -.9999 1.3651 1.3706 1.4121 1.3911 1.4143 1.4239 1.4116 -.9999 1.4272 1.4137 1.4092 1.3822 1.3645 -.9999 -.9999 -.9999 1.3278 1.3324 1.3391 1.3362 1.3432 1.3553 1.3504 1.3537 1.3560 -.9999 -.9999
   27 B 1983-11-06 1.1858 1.1483 1.1453 1.1266 1.1032 1.0991 1.1241 1.1363 1.1522 1.1480 1.1694 1.1803 1.2120 1.2455 1.2755 1.2617 1.2802 1.2869 1.2842 1.3060 1.3284 1.3375 1.3558 1.3496 1.3986 1.4126 1.4417 1.4212 1.4492 1.4738 1.4528 1.4519 1.4588 1.4520 1.4509 1.4302 1.4099 1.3723 1.3386 1.3355 1.3614 1.3891 1.4012 1.4235 1.4370 1.4368 1.4475 1.4565 1.4653 1.4682 1.4426 -.9999
   29 B 1983-11-06 1.1960 1.1912 1.1724 1.1617 1.1668 1.1671 1.1745 1.1884 1.2028 1.2345 1.2357 1.2462 1.2496 1.2763 1.3096 1.3184 1.2996 1.3189 1.3064 1.3184 1.3235 1.3320 -.9999 -.9999 -.9999 1.3733 1.3736 1.3719 1.3822 1.3877 1.3940 1.3832 1.3871 1.3884 1.3884 1.4048 1.3766 1.3703 1.3555 1.3605 1.3886 1.3909 1.3933 1.4095 1.4297 1.4023 1.4103 1.4392 1.4256 1.4135 1.4323 1.4468
   29 B 1985-05-04 1.2011 1.2130 1.1866 1.2051 1.2161 1.2329 1.2590 1.2736 1.2818 1.2998 1.2991 1.3298 1.3368 1.3444 1.3367 1.3549 1.3542 1.3599 1.3537 1.3458 1.3591 1.3723 1.3796 1.4082 1.3969 1.3998 1.3984 1.3873 1.3880 1.3906 1.3833 1.3900 1.3956 1.3797 1.3744 1.3665 1.3535 1.3397 1.3417 1.3444 1.3322 1.3309 1.3372 1.3376 1.3403 1.3341 1.3274 1.3273 1.3342 1.3353 1.3384 1.3318
   31 B 1983-11-07 1.0000 1.0100 0.9840 0.9969 1.0009 1.0053 1.0156 0.9995 1.0194 1.0262 1.0108 1.0181 1.0298 1.0136 1.0163 1.0217 1.0213 1.0428 1.0436 1.0379 1.0354 1.0475 1.0488 1.0553 1.0627 1.0637 1.0683 1.0743 1.0848 1.0891 1.1003 1.1018 1.0696 1.0844 1.1004 1.0981 1.1078 1.1181 1.1138 1.1316 1.1422 1.1594 1.1769 1.1882 1.2050 1.2081 1.2045 1.2190 1.2254 1.2283 1.2186 1.2436
   32 B 1983-11-07 1.1972 1.1691 1.1111 1.1324 1.1014 1.1114 1.1551 1.1547 1.1880 1.2026 1.2242 1.2484 1.2769 1.2758 1.2852 1.2813 1.3010 1.3213 1.3538 1.3597 -.9999 -.9999 -.9999 -.9999 -.9999 1.3703 1.3883 1.3733 1.3963 1.3824 1.3831 1.3985 1.3961 1.3936 1.3823 1.3694 1.3487 1.3314 -.9999 -.9999 -.9999 1.3426 1.3341 1.3504 1.3610 1.3658 1.3668 1.3581 1.3886 -.9999 -.9999 -.9999
   33 B 1985-09-08 1.2120 1.1821 1.1481 1.1139 1.0855 1.0602 1.0712 1.0961 1.1324 1.1602 1.1931 1.2086 1.2364 1.2528 1.2840 1.2938 1.3171 1.3258 1.3371 1.3630 1.3715 1.3704 1.3815 1.3948 1.4210 1.4443 1.4256 1.4117 1.4367 1.4469 1.4526 1.4461 -.9999 1.4501 1.4457 1.4130 1.4003 1.3528 1.3226 1.3108 1.3229 1.3154 1.3375 1.3470 1.3501 1.3604 1.3752 1.3632 1.3631 1.3781 1.3630 1.3722
   37 B 1985-12-23 1.1599 1.1562 1.1153 1.0818 1.0739 1.0627 1.1109 1.1134 1.1316 1.1609 1.1744 1.2197 1.2176 1.2549 -.9999 1.2819 1.3157 -.9999 -.9999 1.3397 1.3487 1.3437 -.9999 -.9999 -.9999 -.9999 1.4493 1.4073 1.4479 1.4011 1.4668 1.4043 1.4375 1.4277 1.4248 1.4133 1.4100 1.4075 1.3849 1.4137 1.3671 1.4140 1.4186 1.4104 1.4654 1.4694 1.5075 1.5243 1.5493 -.9999 1.5358 -.9999
   39 O 1983-11-07 1.1900 1.1695 1.1502 1.1464 1.1325 1.1293 1.1301 1.1326 1.1386 1.1370 1.1481 1.1660 1.1998 1.2301 1.2533 1.2674 1.2935 1.2975 1.3151 1.3313 1.3432 1.3461 1.3722 1.3909 1.4021 1.4252 1.4458 1.4559 1.4681 1.4782 1.4724 1.4831 -.9999 1.4767 1.4743 1.4783 1.4582 1.4430 -.9999 -.9999 1.4306 1.4344 1.4493 1.4551 1.4656 1.4706 1.4865 1.4819 1.4993 1.5107 -.9999 -.9999
   40 B 1985-01-03 1.1891 1.1695 1.1649 1.1466 -.9999 -.9999 -.9999 1.1994 1.2263 1.2398 1.2535 1.2612 -.9999 -.9999 -.9999 -.9999 1.3347 1.3393 1.3558 1.3691 1.3554 1.3542 -.9999 -.9999 -.9999 1.3499 1.3709 1.3823 1.4151 1.4083 1.3984 1.3899 1.4025 1.3978 1.3962 1.3913 1.3682 1.3521 1.3406 1.3391 1.3462 1.3639 1.3756 1.3860 1.3940 1.4055 1.4073 1.4113 1.4170 1.4174 1.4301 1.4245
   42 B 1983-12-28 1.1929 1.1802 1.1623 1.1766 1.1759 1.1725 1.1938 1.1636 1.1771 1.1952 1.2161 1.2422 1.2439 1.2684 1.2866 1.3257 1.3178 1.3530 1.3467 1.3648 1.3665 1.3837 -.9999 -.9999 -.9999 -.9999 1.4743 1.5052 1.5374 1.5296 1.5668 1.5604 1.5284 1.5610 -.9999 -.9999 1.5824 -.9999 -.9999 -.9999 1.5833 1.5743 1.5797 1.5752 1.5761 1.5734 1.5739 1.5711 1.5369 1.5403 1.4970 1.6149
   43 B 1983-12-28 1.1321 1.0865 1.0811 1.0058 1.0447 0.9754 1.0224 1.0243 1.0149 1.0065 1.0202 1.0576 1.0609 1.0799 1.1175 1.1172 1.1534 1.1601 1.1755 1.1338 1.2145 1.2268 1.2204 1.3493 1.2705 1.3206 1.3306 1.2912 1.2887 1.2844 1.2742 1.2816 1.2876 1.2774 1.2587 1.2450 1.2329 1.2056 1.1693 1.1621 1.1762 1.1799 1.2009 1.2172 1.1979 1.2034 1.1896 1.1670 1.2033 1.1837 -.9999 -.9999
   43 B 1983-12-31 1.1197 1.0806 1.0679 1.0961 1.0132 1.0168 1.0169 1.0210 1.0279 1.0561 1.0603 1.0651 1.0874 1.1106 1.1363 1.1599 1.1380 1.1444 1.1536 1.1935 1.1961 1.2048 1.1918 1.2584 1.2221 1.2740 1.2565 1.2663 1.3045 1.2570 1.2757 1.2782 1.2803 1.2682 1.2680 1.2528 1.2268 1.2083 1.1996 1.2209 1.2071 1.2244 1.2278 1.2209 1.2351 1.2376 1.2224 1.2736 1.2096 1.2198 1.2895 1.1997
   43 B 1985-05-05 1.1016 1.0963 1.0563 1.0485 1.0342 1.0184 1.0389 1.0469 1.0630 1.0768 1.0798 1.1011 1.1090 1.1426 1.1723 1.1705 1.1861 1.2139 1.2216 1.2299 1.2365 1.2427 1.2455 1.2860 1.3161 1.3349 1.3567 1.3619 1.3872 1.4049 1.4363 1.4230 1.4027 1.4014 1.3871 1.3700 1.3649 1.3389 1.3182 1.3443 1.3398 1.3600 1.3674 1.3875 1.4051 1.4025 1.3993 1.4369 1.4531 1.4495 1.4503 1.4679
   43 B 1985-09-07 1.1032 1.1030 1.0886 1.0571 1.0470 1.0335 1.0180 1.0165 1.0159 1.0406 1.0401 1.0508 1.0815 1.1035 1.1149 1.1394 1.1490 1.1381 1.1473 1.1757 1.1915 1.2228 1.2143 1.2202 1.2060 1.2248 1.2576 1.2752 1.2983 1.2791 1.2749 1.2915 1.3203 1.2971 1.3091 1.3050 1.3125 1.2860 1.2743 1.2775 1.2946 1.2847 1.2964 1.3294 1.3432 1.3579 1.3736 1.3914 1.3949 1.4050 1.4178 1.4174
   44 B 1983-11-06 1.0640 1.0375 0.9968 1.0000 1.0319 1.0499 1.0427 1.0784 1.0999 1.0648 1.1212 1.0986 1.1474 1.1251 1.1057 1.1130 1.1277 1.1046 1.1531 1.1234 1.1122 1.1728 1.1709 1.1624 1.1519 1.1478 1.1522 1.1573 1.1193 1.1157 1.1021 1.1365 1.0670 1.1227 1.1380 1.1179 1.1037 1.1307 1.1362 1.1443 1.1419 1.1506 1.1452 1.1544 1.1444 1.1446 1.1359 1.1406 1.1337 1.1480 1.1500 1.1586
