0.8289 2.5 -0.9999 -9999
0.8533 2.5 -0.9999 -9999
0.8776 2.5  1.1492   468
0.9021 2.5  1.1816   526
0.9265 2.5  1.0988   440
0.9510 2.5  1.1357   432
0.9755 2.5  1.1460   134
1.0001 2.5  1.1360   168
1.0247 2.5  1.1493   424
1.0493 2.5  1.1163   142
1.0740 2.5  1.1406   243
1.0987 2.5  1.2053   247
1.1234 2.5  1.1764   267
1.1482 2.5  1.2528   451
1.1730 2.5  1.2651   208
1.1978 2.5  1.2513   319
1.2227 2.5  1.3470   269
1.2476 2.5  1.2977   371
1.2726 2.5  1.3015   604
1.2976 2.5  1.3768   451
1.3226 2.5  1.3747   223
1.3476 2.5  1.3897   330
1.3727 2.5  1.5085   192
1.3978 2.5  1.5070   434
1.4230 2.5  1.5071   809
1.4482 2.5  1.5038   518
1.4734 2.5  1.5085   615
1.4910 5.0  1.4708   139
1.4987 2.5  1.4742   634
1.5240 2.5  1.4621   406
1.5490 2.5  1.4762   556
1.5520 5.0  1.4650    83
1.5747 2.5  1.4307   166
1.6001 2.5  1.4859   443
1.6150 5.0  1.4471   195
1.6750 5.0  1.4483    36
1.7350 5.0  1.4264    96
1.7950 5.0  1.4074   351
1.8530 5.0  1.3837   285
1.9130 5.0  1.3860   179
1.9700 5.0  1.3829   215
2.0280 5.0  1.3884   275
2.0840 5.0  1.4237    18
2.1400 5.0  1.4499   210
2.1960 5.0  1.4238   259
2.2520 5.0  1.4358    89
2.3060 5.0  1.4391   177
2.3610 5.0  1.4204   327
2.4140 5.0  1.4369   221
2.4660 5.0  1.4510   157
2.5190 5.0 -0.9999 -9999
2.5700 5.0 -0.9999 -9999
