0.8289 2.5  1.0484   210
0.8533 2.5  1.0350   272
0.8776 2.5  1.0242   353
0.9021 2.5  1.0241   257
0.9265 2.5  1.0209   265
0.9510 2.5  1.0395   243
0.9755 2.5  1.0333   421
1.0001 2.5  1.0756   249
1.0247 2.5  1.0925   233
1.0493 2.5  1.1072   202
1.0740 2.5  1.1121   270
1.0987 2.5  1.1288   260
1.1234 2.5  1.1392   230
1.1482 2.5  1.1516   278
1.1730 2.5  1.1449   344
1.1978 2.5  1.1479   237
1.2227 2.5  1.1366    19
1.2476 2.5  1.1361    40
1.2726 2.5  1.1462    65
1.2976 2.5  1.1520    57
1.3226 2.5  1.1741    59
1.3476 2.5  1.1857    28
1.3727 2.5  1.2148    72
1.3978 2.5  1.2418   153
1.4230 2.5  1.2377     9
1.4482 2.5  1.2249    18
1.4734 2.5  1.2236    87
1.4910 5.0  1.2247    70
1.4987 2.5  1.2250    18
1.5240 2.5  1.2273    37
1.5490 2.5  1.2245    87
1.5520 5.0  1.2093    80
1.5747 2.5  1.2141    50
1.6001 2.5  1.2130    45
1.6150 5.0  1.2316    11
1.6750 5.0  1.2304   149
1.7350 5.0  1.2116   274
1.7950 5.0  1.1896   137
1.8530 5.0  1.1854   270
1.9130 5.0  1.2005   209
1.9700 5.0  1.1945   133
2.0280 5.0  1.2068   286
2.0840 5.0  1.2224   170
2.1400 5.0  1.2167   203
2.1960 5.0  1.2045   195
2.2520 5.0  1.2063   194
2.3060 5.0  1.2104     8
2.3610 5.0  1.2165    31
2.4140 5.0  1.2039   108
2.4660 5.0  1.2080   311
2.5190 5.0  1.2098   189
2.5700 5.0  1.1941   408
