0.8289 2.5  1.0856   422
0.8533 2.5  0.9993   165
0.8776 2.5  1.0487   221
0.9021 2.5  0.9593   560
0.9265 2.5  1.0399   257
0.9510 2.5  1.0284    50
0.9755 2.5  1.0683   208
1.0001 2.5  1.0760   407
1.0247 2.5  1.0918   404
1.0493 2.5  1.0914   392
1.0740 2.5  1.0909   205
1.0987 2.5  1.0892   307
1.1234 2.5  1.0698   172
1.1482 2.5  1.0919   233
1.1730 2.5  1.1140   150
1.1978 2.5  1.1093   129
1.2227 2.5  1.1194    97
1.2476 2.5  1.0765   352
1.2726 2.5  1.1526   148
1.2976 2.5  1.1570   133
1.3226 2.5  1.0736   227
1.3476 2.5  1.1031   261
1.3727 2.5  1.0444   761
1.3978 2.5  1.0398   415
1.4230 2.5  1.1464   218
1.4482 2.5  1.0908   247
1.4734 2.5  1.0656    85
1.4910 5.0  1.1235    58
1.4987 2.5  1.1485   249
1.5240 2.5  1.1131    69
1.5490 2.5  1.1261    74
1.5520 5.0  1.1149    54
1.5747 2.5  1.1331   220
1.6001 2.5  1.1138   109
1.6150 5.0  1.1305     2
1.6750 5.0  1.1188    79
1.7350 5.0  1.1183    97
1.7950 5.0  1.1125   255
1.8530 5.0  1.1042    65
1.9130 5.0  1.1081   140
1.9700 5.0  1.1473   300
2.0280 5.0  1.1537   320
2.0840 5.0  1.1410   366
2.1400 5.0  1.1685   470
2.1960 5.0  1.1507   254
2.2520 5.0  1.1568   608
2.3060 5.0  1.1508   404
2.3610 5.0  1.1652   348
2.4140 5.0  1.1378   451
2.4660 5.0  1.1460    88
2.5190 5.0  1.2573   107
2.5700 5.0  1.0434  2589
