0.8289 2.5  1.1016    95
0.8533 2.5  1.0963    35
0.8776 2.5  1.0563    75
0.9021 2.5  1.0485   191
0.9265 2.5  1.0342    24
0.9510 2.5  1.0184    10
0.9755 2.5  1.0389    48
1.0001 2.5  1.0469    85
1.0247 2.5  1.0630   123
1.0493 2.5  1.0768   123
1.0740 2.5  1.0798    15
1.0987 2.5  1.1011    46
1.1234 2.5  1.1090    23
1.1482 2.5  1.1426   114
1.1730 2.5  1.1723   103
1.1978 2.5  1.1705    13
1.2227 2.5  1.1861    85
1.2476 2.5  1.2139    21
1.2726 2.5  1.2216    57
1.2976 2.5  1.2299    18
1.3226 2.5  1.2365    49
1.3476 2.5  1.2427    48
1.3727 2.5  1.2455    14
1.3978 2.5  1.2860    59
1.4230 2.5  1.3161    39
1.4482 2.5  1.3349    59
1.4734 2.5  1.3567    13
1.4910 5.0  1.4027    88
1.4987 2.5  1.3619    93
1.5240 2.5  1.3872    70
1.5490 2.5  1.4049    54
1.5520 5.0  1.4014    25
1.5747 2.5  1.4363    14
1.6001 2.5  1.4230     3
1.6150 5.0  1.3871    32
1.6750 5.0  1.3700    61
1.7350 5.0  1.3649    30
1.7950 5.0  1.3389    30
1.8530 5.0  1.3182    36
1.9130 5.0  1.3443    54
1.9700 5.0  1.3398    28
2.0280 5.0  1.3600   133
2.0840 5.0  1.3674    91
2.1400 5.0  1.3875   216
2.1960 5.0  1.4051   254
2.2520 5.0  1.4025   136
2.3060 5.0  1.3993   170
2.3610 5.0  1.4369   323
2.4140 5.0  1.4531   257
2.4660 5.0  1.4495   145
2.5190 5.0  1.4503    95
2.5700 5.0  1.4679   604
